"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Deafness or hearing impairment to greater extent","2022","Both sexes","97 years","Number","186"
"Deafness or hearing impairment to greater extent","2022","Both sexes","98 years","Number","148"
"Deafness or hearing impairment to greater extent","2022","Both sexes","99 years","Number","106"
"Deafness or hearing impairment to greater extent","2022","Both sexes","100 years and over","Number","164"
"Deafness or hearing impairment to greater extent","2022","Male","Under 1 year","Number","25"
"Deafness or hearing impairment to greater extent","2022","Male","1 year","Number","35"
"Deafness or hearing impairment to greater extent","2022","Male","2 years","Number","34"
"Deafness or hearing impairment to greater extent","2022","Male","3 years","Number","42"
"Deafness or hearing impairment to greater extent","2022","Male","4 years","Number","49"
"Deafness or hearing impairment to greater extent","2022","Male","5 years","Number","54"
"Deafness or hearing impairment to greater extent","2022","Male","6 years","Number","61"
"Deafness or hearing impairment to greater extent","2022","Male","7 years","Number","69"
"Deafness or hearing impairment to greater extent","2022","Male","8 years","Number","75"
"Deafness or hearing impairment to greater extent","2022","Male","9 years","Number","63"
"Deafness or hearing impairment to greater extent","2022","Male","10 years","Number","92"
"Deafness or hearing impairment to greater extent","2022","Male","11 years","Number","83"
"Deafness or hearing impairment to greater extent","2022","Male","12 years","Number","91"
"Deafness or hearing impairment to greater extent","2022","Male","13 years","Number","97"
"Deafness or hearing impairment to greater extent","2022","Male","14 years","Number","77"
"Deafness or hearing impairment to greater extent","2022","Male","15 years","Number","80"
"Deafness or hearing impairment to greater extent","2022","Male","16 years","Number","62"
"Deafness or hearing impairment to greater extent","2022","Male","17 years","Number","70"
"Deafness or hearing impairment to greater extent","2022","Male","18 years","Number","76"
"Deafness or hearing impairment to greater extent","2022","Male","19 years","Number","80"
"Deafness or hearing impairment to greater extent","2022","Male","20 years","Number","61"
"Deafness or hearing impairment to greater extent","2022","Male","21 years","Number","88"
"Deafness or hearing impairment to greater extent","2022","Male","22 years","Number","75"
"Deafness or hearing impairment to greater extent","2022","Male","23 years","Number","59"
"Deafness or hearing impairment to greater extent","2022","Male","24 years","Number","72"
"Deafness or hearing impairment to greater extent","2022","Male","25 years","Number","67"
"Deafness or hearing impairment to greater extent","2022","Male","26 years","Number","81"
"Deafness or hearing impairment to greater extent","2022","Male","27 years","Number","69"
"Deafness or hearing impairment to greater extent","2022","Male","28 years","Number","68"
"Deafness or hearing impairment to greater extent","2022","Male","29 years","Number","68"
"Deafness or hearing impairment to greater extent","2022","Male","30 years","Number","73"
"Deafness or hearing impairment to greater extent","2022","Male","31 years","Number","80"
"Deafness or hearing impairment to greater extent","2022","Male","32 years","Number","69"
"Deafness or hearing impairment to greater extent","2022","Male","33 years","Number","63"
"Deafness or hearing impairment to greater extent","2022","Male","34 years","Number","82"
"Deafness or hearing impairment to greater extent","2022","Male","35 years","Number","85"
"Deafness or hearing impairment to greater extent","2022","Male","36 years","Number","111"
"Deafness or hearing impairment to greater extent","2022","Male","37 years","Number","113"
"Deafness or hearing impairment to greater extent","2022","Male","38 years","Number","137"
"Deafness or hearing impairment to greater extent","2022","Male","39 years","Number","121"
"Deafness or hearing impairment to greater extent","2022","Male","40 years","Number","133"
"Deafness or hearing impairment to greater extent","2022","Male","41 years","Number","130"
"Deafness or hearing impairment to greater extent","2022","Male","42 years","Number","147"
"Deafness or hearing impairment to greater extent","2022","Male","43 years","Number","153"
"Deafness or hearing impairment to greater extent","2022","Male","44 years","Number","148"
"Deafness or hearing impairment to greater extent","2022","Male","45 years","Number","156"
"Deafness or hearing impairment to greater extent","2022","Male","46 years","Number","161"
"Deafness or hearing impairment to greater extent","2022","Male","47 years","Number","165"
"Deafness or hearing impairment to greater extent","2022","Male","48 years","Number","178"
"Deafness or hearing impairment to greater extent","2022","Male","49 years","Number","190"
"Deafness or hearing impairment to greater extent","2022","Male","50 years","Number","212"
"Deafness or hearing impairment to greater extent","2022","Male","51 years","Number","200"
"Deafness or hearing impairment to greater extent","2022","Male","52 years","Number","218"
"Deafness or hearing impairment to greater extent","2022","Male","53 years","Number","216"
"Deafness or hearing impairment to greater extent","2022","Male","54 years","Number","248"
"Deafness or hearing impairment to greater extent","2022","Male","55 years","Number","251"
"Deafness or hearing impairment to greater extent","2022","Male","56 years","Number","245"
"Deafness or hearing impairment to greater extent","2022","Male","57 years","Number","285"
"Deafness or hearing impairment to greater extent","2022","Male","58 years","Number","319"
"Deafness or hearing impairment to greater extent","2022","Male","59 years","Number","307"
"Deafness or hearing impairment to greater extent","2022","Male","60 years","Number","310"
"Deafness or hearing impairment to greater extent","2022","Male","61 years","Number","338"
"Deafness or hearing impairment to greater extent","2022","Male","62 years","Number","356"
"Deafness or hearing impairment to greater extent","2022","Male","63 years","Number","394"
"Deafness or hearing impairment to greater extent","2022","Male","64 years","Number","365"
"Deafness or hearing impairment to greater extent","2022","Male","65 years","Number","422"
"Deafness or hearing impairment to greater extent","2022","Male","66 years","Number","444"
"Deafness or hearing impairment to greater extent","2022","Male","67 years","Number","494"
"Deafness or hearing impairment to greater extent","2022","Male","68 years","Number","458"
"Deafness or hearing impairment to greater extent","2022","Male","69 years","Number","559"
